Index,Borough,c2018,c2019,c2020,c2021,c2022,c2023,location,
29,Tower Hamlets,2384,2463,2305,2595,3121,3138,-0.0355,51.5212
32,Westminster,2830,2617,1999,2678,3153,3135,-0.1312,51.4963
7,Croydon,2190,2170,2169,2370,2933,2963,-0.0826,51.3783
21,Lambeth,2366,2137,2091,2458,2932,2956,-0.1181,51.4479
27,Southwark,2347,2304,2214,2605,2810,2921,-0.0732,51.4712
11,Hackney,2146,2226,2190,2501,2878,2765,-0.0615,51.5518
22,Lewisham,1915,1871,1775,2001,2459,2526,-0.0101,51.4605
5,Camden,1927,1850,1683,2129,2339,2425,-0.147,51.5403
9,Enfield,1986,1871,1964,2010,2576,2385,-0.0734,51.6661
24,Newham,1931,1855,1809,2220,2361,2334,0.0302,51.5294
10,Greenwich,1911,1856,1657,1945,2393,2331,0.0015,51.4842
3,Brent,1870,1724,1602,1974,2207,2301,-0.2646,51.5601
1,Barnet,1873,1670,1632,2007,2301,2230,-0.2109,51.6261
8,Ealing,1840,1689,1729,1815,2264,2205,-0.3057,51.5108
18,Islington,1693,1576,1499,1810,2164,2085,-0.1055,51.5509
13,Haringey,1627,1653,1725,1814,2007,1991,-0.1084,51.5915
31,Wandsworth,1456,1491,1291,1673,1955,1920,-0.1922,51.4582
4,Bromley,1658,1686,1558,1761,2077,1852,0.0288,51.3963
16,Hillingdon,1716,1661,1404,1541,2076,1851,-0.4397,51.5458
17,Hounslow,1415,1480,1401,1429,1910,1709,-0.3822,51.4765
